,size,color,shape,target,concept
111,1,1,2,0,0
112,0,1,1,0,0
113,1,1,2,0,0
114,2,0,0,0,0
115,1,0,1,0,0
116,1,2,1,0,0
117,1,2,2,0,0
118,0,1,2,0,0
119,2,0,1,0,0
120,1,2,0,0,0
121,1,1,2,0,0
122,0,2,1,0,0
123,1,2,2,0,0
124,0,0,2,1,0
125,0,1,2,0,0
126,1,1,0,0,0
127,2,2,1,0,0
128,2,1,0,0,0
129,1,1,0,0,0
130,2,2,1,0,0
131,2,0,2,0,0
132,0,0,1,1,0
133,2,1,0,0,0
134,0,2,1,0,0
135,0,2,1,0,0
136,2,2,0,0,0
137,1,0,0,0,0
138,2,1,1,0,0
139,0,1,0,0,0
140,0,2,1,0,0
141,0,2,1,0,0
142,2,2,0,0,0
143,0,2,0,0,0
144,0,1,2,0,0
145,0,2,1,0,0
146,2,0,0,0,0
147,1,1,1,0,0
148,2,2,1,0,0
149,2,0,0,0,0
150,2,1,1,0,0
151,0,2,1,0,0
152,0,2,1,0,0
153,0,2,0,0,0
154,2,1,2,0,0
155,2,0,0,0,0
156,0,2,2,0,0
157,0,1,0,0,0
158,2,2,2,0,0
159,0,1,2,0,0
160,1,0,1,0,0
161,0,1,2,0,0
162,1,1,1,0,0
163,1,1,2,0,0
164,2,1,2,0,0
165,2,0,2,0,0
166,1,0,1,0,0
167,2,1,2,0,0
168,1,2,1,0,0
169,1,0,0,0,0
170,2,2,2,0,0
171,1,0,0,0,0
172,1,1,1,0,0
173,2,0,0,0,0
174,2,0,1,0,0
175,0,1,2,0,0
176,2,0,2,0,0
177,0,2,1,0,0
178,1,0,2,0,0
179,2,2,2,0,0
180,0,2,2,0,0
181,2,1,2,0,0
182,2,2,1,0,0
183,1,1,2,0,0
184,0,2,0,0,0
185,2,2,2,0,0
186,1,2,0,0,0
187,1,2,1,0,0
188,1,1,0,0,0
189,0,2,2,0,0
190,2,1,1,0,0
191,1,0,0,0,0
192,1,0,2,0,0
193,1,1,0,0,0
194,0,1,1,0,0
195,2,0,0,0,0
196,0,1,2,0,0
197,1,1,0,0,0
198,1,0,2,0,0
199,0,0,1,1,0
200,0,1,1,0,0
201,1,0,0,0,0
202,1,2,1,0,0
203,1,0,2,0,0
204,2,2,2,0,0
205,1,2,2,0,0
206,1,0,0,0,0
207,0,2,2,0,0
208,1,1,1,0,0
209,1,1,2,0,0
210,0,0,2,1,0
211,1,2,2,0,0
212,2,0,1,0,0
213,0,1,2,0,0
214,2,1,0,0,0
215,1,1,2,0,0
216,2,1,2,0,0
217,1,2,1,0,0
218,2,1,2,0,0
219,2,1,0,0,0
220,0,0,2,1,0
221,2,2,1,0,0
222,0,0,0,1,0
223,0,0,1,1,0
224,0,0,1,1,0
225,0,0,0,1,0
226,2,1,0,0,0
227,0,0,1,1,0
228,1,0,2,0,0
229,1,2,0,0,0
230,0,1,1,0,0
231,0,2,2,0,0
232,2,1,1,0,0
233,2,0,0,0,0
234,2,0,1,0,0
235,1,2,0,0,0
236,1,0,1,0,0
237,1,0,0,0,0
238,0,1,0,0,0
239,2,0,1,0,0
240,0,2,0,0,0
241,0,0,0,1,0
242,0,2,1,0,0
243,0,2,0,0,0
244,0,1,1,0,0
245,2,2,0,0,0
246,2,1,2,0,0
247,1,2,1,0,0
248,2,2,2,0,0
249,0,0,1,1,0
250,2,0,0,0,0
251,1,0,2,0,0
252,2,0,1,0,0
253,1,2,0,0,0
254,2,1,1,0,0
255,2,0,1,0,0
256,1,1,2,0,0
257,2,0,2,0,0
258,1,2,1,0,0
259,2,0,1,0,0
260,0,2,2,0,0
261,1,0,1,0,0
262,1,0,2,0,0
263,0,0,2,1,0
264,0,1,0,0,0
265,2,2,1,0,0
266,1,2,2,0,0
267,2,1,2,0,0
268,1,1,1,0,0
269,2,1,2,0,0
270,2,0,0,0,0
271,0,2,1,0,0
272,0,2,1,0,0
273,2,2,1,0,0
274,0,1,2,0,0
275,0,2,2,0,0
276,1,0,0,0,0
277,2,2,2,0,0
278,2,1,2,0,0
279,1,1,2,0,0
280,2,0,1,0,0
281,2,2,1,0,0
282,1,0,2,0,0
283,0,2,1,0,0
284,0,2,1,0,0
285,1,1,2,0,0
286,0,0,1,1,0
287,2,2,1,0,0
288,1,1,2,0,0
289,2,1,0,0,0
290,0,0,0,1,0
291,2,2,2,0,0
292,0,2,2,0,0
293,1,2,0,0,0
294,2,2,0,0,0
295,0,0,1,1,0
296,1,0,2,0,0
297,1,1,2,0,0
298,1,2,2,0,0
299,1,1,0,0,0
300,1,0,1,0,0
301,1,0,2,0,0
302,2,0,0,0,0
303,1,1,0,0,0
304,2,0,0,0,0
305,0,2,0,0,0
306,2,0,0,0,0
307,0,0,0,1,0
308,1,0,2,0,0
309,0,2,0,0,0
310,2,2,2,0,0
311,1,0,1,0,0
312,0,0,1,1,0
313,2,1,1,0,0
314,1,0,0,0,0
315,2,2,2,0,0
316,1,1,1,0,0
317,1,2,0,0,0
318,1,0,0,0,0
319,1,2,2,0,0
320,0,0,2,1,0
321,2,0,2,0,0
322,1,2,0,0,0
323,1,0,1,0,0
324,0,0,1,1,0
325,2,2,0,0,0
326,0,0,0,1,0
327,1,0,2,0,0
328,2,2,2,0,0
329,0,1,1,0,0
330,2,2,1,0,0
331,0,0,2,1,0
332,0,1,0,0,0
333,2,1,1,0,0
334,2,0,2,0,0
335,0,2,0,0,0
336,0,2,0,0,0
337,1,1,1,0,0
338,2,0,2,0,0
339,2,1,0,0,0
340,2,0,1,0,0
341,2,1,1,0,0
342,1,1,0,0,0
343,0,0,1,1,0
344,2,2,2,0,0
345,1,0,2,0,0
346,2,2,0,0,0
347,2,2,2,0,0
348,1,1,0,0,0
349,0,1,2,0,0
350,0,2,1,0,0
351,1,0,0,0,0
352,1,0,2,0,0
353,1,2,0,0,0
354,0,0,2,1,0
355,2,1,0,0,0
356,1,2,0,0,0
357,1,1,1,0,0
358,1,1,2,0,0
359,0,0,1,1,0
360,0,1,0,0,0
361,0,2,0,0,0
362,2,0,2,0,0
363,1,0,2,0,0
364,2,0,2,0,0
365,0,0,0,1,0
366,0,1,2,0,0
367,0,2,1,0,0
368,1,1,2,0,0
369,2,0,2,0,0
370,0,2,0,0,0
371,0,2,2,0,0
372,1,0,0,0,0
373,0,1,0,0,0
374,0,0,1,1,0
375,1,2,0,0,0
376,2,0,2,0,0
377,2,1,2,0,0
378,2,0,1,0,0
379,1,1,0,0,0
380,1,1,2,0,0
381,0,0,1,1,0
382,0,1,2,0,0
383,2,0,0,0,0
384,0,0,1,1,0
385,2,1,1,0,0
386,2,0,1,0,0
387,1,2,0,0,0
388,2,2,1,0,0
389,0,0,1,1,0
390,1,0,1,0,0
391,0,1,0,0,0
392,0,1,2,0,0
393,2,0,2,0,0
394,1,1,0,0,0
395,2,1,0,0,0
396,0,1,2,0,0
397,2,0,0,0,0
398,0,1,2,0,0
399,2,0,2,0,0
400,0,1,0,0,0
401,0,1,1,0,0
402,2,1,1,0,0
403,1,0,2,0,0
404,1,0,0,0,0
405,2,2,2,0,0
406,1,1,2,0,0
407,0,1,1,0,0
408,0,0,0,1,0
409,2,1,1,0,0
410,0,1,2,0,0
411,2,1,1,0,0
412,2,1,1,0,0
413,2,2,2,0,0
414,0,1,1,0,0
415,0,1,2,0,0
416,1,1,0,0,0
417,1,2,1,0,0
418,1,1,0,0,0
419,0,0,1,1,0
420,2,1,1,0,0
421,0,0,0,1,0
422,0,0,0,1,0
423,1,2,2,0,0
424,1,2,2,0,0
425,2,0,0,0,0
426,0,0,0,1,0
427,2,0,0,0,0
428,1,0,2,0,0
429,0,0,2,1,0
430,1,1,0,0,0
431,2,1,1,0,0
432,0,2,2,0,0
433,1,1,1,0,0
434,2,1,0,0,0
435,1,1,2,0,0
436,0,1,0,0,0
437,2,0,1,0,0
438,0,1,0,0,0
439,0,0,2,1,0
440,2,0,0,0,0
441,0,0,1,1,0
442,0,0,2,1,0
443,1,0,2,0,0
444,0,1,0,0,0
445,1,0,1,0,0
446,1,1,1,0,0
447,1,2,0,0,0
448,1,2,1,0,0
449,2,0,0,0,0
450,2,2,2,0,0
451,0,2,1,0,0
452,2,1,1,0,0
453,1,2,2,0,0
454,2,1,2,0,0
455,2,2,2,0,0
456,2,1,0,0,0
457,2,0,0,0,0
458,2,1,0,0,0
459,1,2,1,0,0
460,0,0,1,1,0
461,1,0,2,0,0
462,1,2,2,0,0
463,1,1,0,0,0
464,0,1,0,0,0
465,0,1,0,0,0
466,1,2,2,0,0
467,2,2,2,0,0
468,1,1,1,0,0
469,0,1,1,0,0
470,2,1,1,0,0
471,1,2,1,0,0
472,0,2,2,0,0
473,1,0,2,0,0
474,2,1,0,0,0
475,2,0,1,0,0
476,1,0,0,0,0
477,2,2,0,0,0
478,2,1,2,0,0
479,0,1,1,0,0
480,0,2,2,0,0
481,2,0,1,0,0
482,0,0,1,1,0
483,0,0,1,1,0
484,1,1,0,0,0
485,1,1,2,0,0
486,2,1,1,0,0
487,0,0,0,1,0
488,2,0,1,0,0
489,1,2,0,0,0
490,1,0,2,0,0
491,1,2,1,0,0
492,1,0,0,0,0
493,1,1,2,0,0
494,0,2,0,0,0
495,1,2,2,0,0
496,0,0,2,1,0
497,0,0,0,1,0
498,1,2,1,0,0
499,1,2,1,0,0
500,0,1,1,0,0
501,0,1,1,0,0
502,2,0,0,0,0
503,2,2,2,0,0
504,2,0,2,0,0
505,2,1,2,0,0
506,2,1,2,0,0
507,0,0,0,1,0
508,2,0,0,0,0
509,0,1,0,0,0
510,2,1,2,0,0
511,1,2,0,0,0
512,0,1,0,0,0
513,0,2,2,0,0
514,1,2,2,0,0
515,1,2,0,0,0
516,2,0,0,0,0
517,2,0,2,0,0
518,2,0,1,0,0
519,0,0,0,1,0
520,2,1,2,0,0
521,1,0,2,0,0
522,0,1,0,0,0
523,0,0,1,1,0
524,0,0,1,1,0
525,1,2,2,0,0
526,1,2,2,0,0
527,2,1,0,0,0
528,2,0,1,0,0
529,0,2,0,0,0
530,2,1,2,0,0
531,0,1,0,0,0
532,2,1,2,0,0
533,1,2,0,0,0
534,2,2,0,0,0
535,1,0,1,0,0
536,1,2,1,0,0
537,0,2,1,0,0
538,1,2,0,0,0
539,2,0,1,0,0
540,2,2,0,0,0
541,2,2,1,0,0
542,2,2,2,0,0
543,0,1,2,0,0
544,1,1,2,0,0
545,2,1,0,0,0
546,2,0,1,0,0
547,1,0,0,0,0
548,2,0,0,0,0
549,2,1,2,0,0
550,1,2,1,0,0
551,2,0,0,0,0
552,2,0,1,0,0
553,1,1,1,0,0
554,0,0,2,1,0
555,1,0,2,0,0
556,1,2,0,0,0
557,1,2,0,0,0
558,2,0,2,0,0
559,0,0,2,1,0
560,0,0,1,1,0
561,0,2,2,0,0
562,1,0,2,0,0
563,1,1,1,0,0
564,0,1,0,0,0
565,0,1,1,0,0
566,2,0,0,0,0
567,2,2,2,0,0
568,1,2,1,0,0
569,2,2,0,0,0
570,0,0,2,1,0
571,2,2,1,0,0
572,0,1,2,0,0
573,2,1,2,0,0
574,0,0,0,1,0
575,1,2,2,0,0
576,0,2,0,0,0
577,0,1,1,0,0
578,0,1,1,0,0
579,0,1,2,0,0
580,0,1,1,0,0
581,0,0,2,1,0
582,1,2,0,0,0
583,1,0,1,0,0
584,1,0,2,0,0
585,1,1,0,0,0
586,1,0,0,0,0
587,2,1,0,0,0
588,2,0,0,0,0
589,0,0,0,1,0
590,0,2,0,0,0
591,1,0,2,0,0
592,0,2,2,0,0
593,2,1,0,0,0
594,2,2,1,0,0
595,1,1,2,0,0
596,2,0,2,0,0
597,2,2,0,0,0
598,1,2,0,0,0
599,1,2,1,0,0
600,0,1,2,0,0
601,2,2,2,0,0
602,1,0,1,0,0
603,0,2,2,0,0
604,2,1,2,0,0
605,1,1,2,0,0
606,2,0,2,0,0
607,0,0,0,1,0
608,0,2,0,0,0
609,2,0,1,0,0
610,0,0,1,1,0
611,0,2,0,0,0
612,1,1,2,0,0
613,0,2,2,0,0
614,1,0,0,0,0
615,2,0,2,0,0
616,0,0,0,1,0
617,0,2,2,0,0
618,0,1,1,0,0
619,1,1,2,0,0
620,1,0,2,0,0
621,1,2,2,0,0
622,2,1,0,0,0
623,0,2,1,0,0
624,2,0,1,0,0
625,2,0,2,0,0
626,1,2,2,0,0
627,0,2,2,0,0
628,0,2,0,0,0
629,1,0,0,0,0
630,2,2,2,0,0
631,0,2,0,0,0
632,0,2,0,0,0
633,0,1,1,0,0
634,1,0,1,0,0
635,2,1,0,0,0
636,2,0,2,0,0
637,0,2,0,0,0
638,2,1,0,0,0
639,2,2,0,0,0
640,2,1,2,0,0
641,1,0,0,0,0
642,0,0,1,1,0
643,2,0,0,0,0
644,1,1,2,0,0
645,0,2,1,0,0
646,0,2,2,0,0
647,2,2,0,0,0
648,2,2,1,0,0
649,0,2,1,0,0
650,0,1,1,0,0
651,0,1,1,0,0
652,0,2,2,0,0
653,0,2,2,0,0
654,1,1,2,0,0
655,0,2,1,0,0
656,1,0,2,0,0
657,2,1,1,0,0
658,2,0,2,0,0
659,0,2,0,0,0
660,1,2,1,0,0
661,2,0,0,0,0
662,0,0,1,1,0
663,1,1,1,0,0
664,0,0,2,1,0
665,1,0,2,0,0
666,2,1,0,0,0
667,0,0,1,1,0
668,0,2,1,0,0
669,1,0,1,0,0
670,1,0,2,0,0
671,1,0,0,0,0
672,2,0,2,0,0
673,0,0,2,1,0
674,2,1,0,0,0
675,2,1,0,0,0
676,1,1,0,0,0
677,2,0,2,0,0
678,1,1,0,0,0
679,0,1,2,0,0
680,1,1,0,0,0
681,2,1,2,0,0
682,2,2,1,0,0
683,2,1,0,0,0
684,1,0,1,0,0
685,0,0,2,1,0
686,1,2,1,0,0
687,1,2,0,0,0
688,2,2,1,0,0
689,0,0,2,1,0
690,2,2,2,0,0
691,2,2,0,0,0
692,0,2,0,0,0
693,2,2,0,0,0
694,2,1,1,0,0
695,1,0,1,0,0
696,2,2,0,0,0
697,0,1,2,0,0
698,0,1,2,0,0
699,2,0,2,0,0
700,2,1,0,0,0
701,0,0,2,1,0
702,0,2,1,0,0
703,1,0,0,0,0
704,0,1,2,0,0
705,0,1,2,0,0
706,1,1,0,0,0
707,2,2,1,0,0
708,0,2,0,0,0
709,1,0,2,0,0
710,1,0,0,0,0
711,2,0,2,0,0
712,0,2,2,0,0
713,2,1,0,0,0
714,1,1,1,0,0
715,2,0,1,0,0
716,0,2,0,0,0
717,0,2,1,0,0
718,0,2,1,0,0
719,1,1,0,0,0
720,1,2,2,0,0
721,0,1,1,0,0
722,1,2,2,0,0
723,1,1,0,0,0
724,0,2,2,0,0
725,0,2,2,0,0
726,1,2,2,0,0
727,2,2,2,0,0
728,1,1,0,0,0
729,2,2,2,0,0
730,0,1,0,0,0
731,1,0,2,0,0
732,2,1,1,0,0
733,2,0,2,0,0
734,2,2,1,0,0
735,1,2,2,0,0
736,2,1,0,0,0
737,0,2,2,0,0
738,0,0,2,1,0
739,0,1,2,0,0
740,2,1,0,0,0
741,0,2,2,0,0
742,0,0,2,1,0
743,1,1,0,0,0
744,2,1,1,0,0
745,2,0,2,0,0
746,0,0,1,1,0
747,2,2,1,0,0
748,2,1,1,0,0
749,2,1,0,0,0
750,0,1,0,0,0
751,1,1,1,0,0
752,2,0,0,0,0
753,0,1,1,0,0
754,2,0,2,0,0
755,2,2,2,0,0
756,1,2,0,0,0
757,0,1,0,0,0
758,0,2,1,0,0
759,2,0,2,0,0
760,2,2,2,0,0
761,2,1,1,0,0
762,2,1,2,0,0
763,2,1,0,0,0
764,0,0,2,1,0
765,1,0,2,0,0
766,1,0,1,0,0
767,1,1,1,0,0
768,2,1,1,0,0
769,1,2,0,0,0
770,2,0,0,0,0
771,1,2,2,0,0
772,0,2,2,0,0
773,1,0,2,0,0
774,0,0,2,1,0
775,0,2,1,0,0
776,2,0,1,0,0
777,2,2,1,0,0
778,1,2,2,0,0
779,2,0,2,0,0
780,1,2,2,0,0
781,2,0,1,0,0
782,0,1,0,0,0
783,2,1,0,0,0
784,1,2,0,0,0
785,1,0,1,0,0
786,0,0,2,1,0
787,1,0,1,0,0
788,1,1,0,0,0
789,1,0,2,0,0
790,1,1,0,0,0
791,1,0,1,0,0
792,2,0,2,0,0
793,1,2,1,0,0
794,1,0,1,0,0
795,0,2,2,0,0
796,0,1,0,0,0
797,2,0,1,0,0
798,2,1,2,0,0
799,0,0,0,1,0
800,0,1,1,0,0
801,1,0,1,0,0
802,2,1,1,0,0
803,2,1,2,0,0
804,2,2,0,0,0
805,1,2,0,0,0
806,2,0,2,0,0
807,2,1,2,0,0
808,2,2,0,0,0
809,1,0,0,0,0
810,1,2,1,0,0
811,2,0,2,0,0
812,0,2,0,0,0
813,2,0,0,0,0
814,0,1,1,0,0
815,1,1,0,0,0
816,2,1,1,0,0
817,0,0,2,1,0
818,0,1,2,0,0
819,1,0,0,0,0
820,2,1,2,0,0
821,1,2,0,0,0
822,1,2,0,0,0
823,0,0,2,1,0
824,0,1,2,0,0
825,1,1,0,0,0
826,1,2,2,0,0
827,1,2,1,0,0
828,1,2,1,0,0
829,0,0,2,1,0
830,0,0,0,1,0
831,1,1,2,0,0
832,1,2,2,0,0
833,1,2,0,0,0
834,1,2,2,0,0
835,2,2,2,0,0
836,1,2,1,0,0
837,0,0,2,1,0
838,1,0,2,0,0
839,2,2,2,0,0
840,1,0,1,0,0
841,2,2,0,0,0
842,0,0,1,1,0
843,0,2,2,0,0
844,1,2,1,0,0
845,0,1,1,0,0
846,0,0,0,1,0
847,2,2,0,0,0
848,1,0,0,0,0
849,1,1,1,0,0
850,0,0,1,1,0
851,2,1,1,0,0
852,0,0,1,1,0
853,0,0,1,1,0
854,1,1,1,0,0
855,1,0,1,0,0
856,2,2,0,0,0
857,0,0,1,1,0
858,1,0,1,0,0
859,2,0,0,0,0
860,0,1,0,0,0
861,1,0,0,0,0
862,2,1,1,0,0
863,2,0,0,0,0
864,1,1,0,0,0
865,2,2,1,0,0
866,2,2,2,0,0
867,0,1,1,0,0
868,1,2,1,0,0
869,1,0,1,0,0
870,1,1,1,0,0
871,0,2,1,0,0
872,2,1,2,0,0
873,2,1,2,0,0
874,1,0,0,0,0
875,0,0,2,1,0
876,0,0,0,1,0
877,1,0,1,0,0
878,2,2,1,0,0
879,0,2,0,0,0
880,2,0,2,0,0
881,1,0,0,0,0
882,1,0,0,0,0
883,1,0,1,0,0
884,0,2,1,0,0
885,2,0,2,0,0
886,0,1,0,0,0
887,0,0,1,1,0
888,0,2,2,0,0
889,2,2,1,0,0
890,0,1,0,0,0
891,1,0,0,0,0
892,0,0,2,1,0
893,0,2,0,0,0
894,0,0,0,1,0
895,0,0,0,1,0
896,0,2,0,0,0
897,2,0,1,0,0
898,0,1,0,0,0
899,2,0,0,0,0
900,2,1,2,0,0
901,2,1,1,0,0
902,1,2,1,0,0
903,1,1,0,0,0
904,2,1,0,0,0
905,1,2,0,0,0
906,2,2,1,0,0
907,2,2,0,0,0
908,2,0,0,0,0
909,0,2,2,0,0
910,0,0,0,1,0
911,1,2,0,0,0
912,1,1,0,0,0
913,1,2,1,0,0
914,2,2,0,0,0
915,2,2,2,0,0
916,0,1,2,0,0
917,0,2,1,0,0
918,0,0,1,1,0
919,2,2,0,0,0
920,1,0,2,0,0
921,2,0,2,0,0
922,1,1,1,0,0
923,0,1,1,0,0
924,0,2,2,0,0
925,0,0,2,1,0
926,1,0,2,0,0
927,0,0,1,1,0
928,2,0,2,0,0
929,2,1,2,0,0
930,1,1,0,0,0
931,2,0,0,0,0
932,2,2,2,0,0
933,0,1,2,0,0
934,2,0,2,0,0
935,1,2,2,0,0
936,2,1,0,0,0
937,1,1,2,0,0
938,2,0,0,0,0
939,2,1,2,0,0
940,0,1,1,0,0
941,1,0,2,0,0
942,1,0,2,0,0
943,2,2,0,0,0
944,0,0,0,1,0
945,0,0,2,1,0
946,1,2,1,0,0
947,2,0,2,0,0
948,2,1,2,0,0
949,2,0,0,0,0
950,0,0,0,1,0
951,2,1,1,0,0
952,1,0,2,0,0
953,0,0,1,1,0
954,0,0,0,1,0
955,0,1,2,0,0
956,1,0,1,0,0
957,2,2,0,0,0
958,1,0,0,0,0
959,1,2,0,0,0
960,2,0,2,0,0
961,0,1,0,0,0
962,2,2,1,0,0
963,1,1,1,0,0
964,2,0,2,0,0
965,1,0,2,0,0
966,2,2,1,0,0
967,1,1,0,0,0
968,2,0,2,0,0
969,2,1,0,0,0
970,2,0,1,0,0
971,1,1,0,0,0
972,0,0,0,1,0
973,2,2,0,0,0
974,0,0,2,1,0
975,0,0,0,1,0
976,0,0,1,1,0
977,0,1,0,0,0
978,2,2,1,0,0
979,1,1,1,0,0
980,1,1,0,0,0
981,2,1,1,0,0
982,1,0,1,0,0
983,1,0,0,0,0
984,1,0,2,0,0
985,2,0,2,0,0
986,2,2,2,0,0
987,1,0,0,0,0
988,2,2,2,0,0
989,1,2,1,0,0
990,0,2,2,0,0
991,1,2,2,0,0
992,0,0,2,1,0
993,1,0,0,0,0
994,2,2,0,0,0
995,1,2,2,0,0
996,0,1,1,0,0
997,1,1,0,0,0
998,0,1,2,0,0
999,2,0,1,0,0
1000,1,0,0,0,0
1001,2,0,1,0,0
1002,1,1,0,0,0
1003,2,0,0,0,0
1004,1,1,1,0,0
1005,2,1,0,0,0
1006,2,0,2,0,0
1007,0,2,1,0,0
1008,2,1,0,0,0
1009,0,0,0,1,0
1010,0,2,2,0,0
1011,2,0,1,0,0
1012,0,2,0,0,0
1013,0,0,1,1,0
1014,0,0,0,1,0
1015,0,1,1,0,0
1016,1,2,1,0,0
1017,2,2,2,0,0
1018,0,2,2,0,0
1019,2,2,0,0,0
1020,0,2,0,0,0
1021,1,1,2,0,0
1022,1,0,2,0,0
1023,2,2,2,0,0
1024,0,1,2,0,0
1025,2,2,0,0,0
1026,2,0,2,0,0
1027,2,0,1,0,0
1028,1,0,2,0,0
1029,2,2,2,0,0
1030,0,2,2,0,0
1031,2,2,0,0,0
1032,1,2,1,0,0
1033,2,2,0,0,0
1034,2,1,2,0,0
1035,1,0,2,0,0
1036,2,0,2,0,0
1037,0,0,1,1,0
1038,0,1,1,0,0
1039,1,0,1,0,0
1040,0,2,0,0,0
1041,0,0,0,1,0
1042,0,2,1,0,0
1043,0,1,1,0,0
1044,1,0,1,0,0
1045,0,1,1,0,0
1046,2,0,0,0,0
1047,1,1,0,0,0
1048,1,1,0,0,0
1049,0,0,0,1,0
1050,2,2,0,0,0
1051,0,2,1,0,0
1052,1,0,0,0,0
1053,1,1,0,0,0
1054,0,1,2,0,0
1055,1,2,1,0,0
1056,0,1,0,0,0
1057,1,2,2,0,0
1058,0,2,1,0,0
1059,2,0,2,0,0
1060,0,2,1,0,0
1061,0,1,2,0,0
1062,2,0,0,0,0
1063,1,2,0,0,0
1064,2,1,0,0,0
1065,1,0,0,0,0
1066,0,1,1,0,0
1067,0,2,2,0,0
1068,1,0,0,0,0
1069,1,2,1,0,0
1070,2,2,0,0,0
1071,0,0,2,1,0
1072,0,0,0,1,0
1073,2,2,1,0,0
1074,0,0,0,1,0
1075,1,2,0,0,0
1076,0,1,0,0,0
1077,0,1,1,0,0
1078,0,1,2,0,0
1079,1,1,2,0,0
1080,0,0,0,1,0
1081,0,1,1,0,0
1082,0,0,2,1,0
1083,1,0,0,0,0
1084,2,2,1,0,0
1085,0,1,2,0,0
1086,2,0,1,0,0
1087,0,2,2,0,0
1088,0,2,2,0,0
1089,2,1,2,0,0
1090,1,1,2,0,0
1091,1,1,1,0,0
1092,2,0,1,0,0
1093,1,2,2,0,0
1094,2,1,2,0,0
1095,0,2,2,0,0
1096,2,0,0,0,0
1097,2,2,1,0,0
1098,2,2,0,0,0
1099,2,1,1,0,0
1100,2,1,1,0,0
1101,0,2,0,0,0
1102,2,2,2,0,0
1103,2,2,0,0,0
1104,0,2,1,0,0
1105,1,2,0,0,0
1106,1,0,2,0,0
1107,2,0,2,0,0
1108,0,0,1,1,0
1109,1,0,0,0,0
1110,2,1,0,0,0
1111,1,1,0,0,0
1112,1,2,1,0,0
1113,1,1,2,0,0
1114,0,2,2,0,0
1115,0,0,1,1,0
1116,2,0,1,0,0
1117,2,0,0,0,0
1118,1,2,1,0,0
1119,1,1,1,0,0
1120,1,2,1,0,0
1121,0,2,0,0,0
1122,1,1,1,0,0
1123,1,2,2,0,0
1124,1,0,1,0,0
1125,1,0,2,0,0
1126,0,2,0,0,0
1127,0,0,1,1,0
1128,1,0,0,0,0
1129,2,2,1,0,0
1130,1,2,2,0,0
1131,1,2,2,0,0
1132,1,2,0,0,0
1133,1,1,1,0,0
1134,2,2,2,0,0
1135,2,2,1,0,0
1136,2,2,2,0,0
1137,0,1,2,0,0
1138,0,1,2,0,0
1139,1,2,1,0,0
1140,0,0,2,1,0
1141,2,0,1,0,0
1142,2,1,0,0,0
1143,0,1,1,0,0
1144,2,1,2,0,0
1145,2,1,0,0,0
1146,0,2,0,0,0
1147,1,0,1,0,0
1148,1,1,1,0,0
1149,0,1,2,0,0
1150,1,0,0,0,0
